,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"time",0,12,24,36,48,60,72,96,120,144,168,192,216,240,264,288,312,336
"N1",200,207,228,370,664,958,1330,1253,1017,827,546,276,240,409,1094,1452,1291,903
"N2",189,205,283,461,716,1002,1212,1032,610,227,245,600,1128,1383,1330,862,329,119
"N3",201,222,280,394,595,822,1097,1097,779,422,303,431,1001,1439,1161,912,400,146
"N4",198,214,241,428,641,924,1281,1413,1261,736,288,214,361,761,1168,1036,596,285
"N5",191,204,274,483,772,1060,1251,1100,688,333,267,612,1320,1595,1542,1128,817,389
"N6",174,221,331,486,748,1011,1216,1112,764,293,238,272,709,1232,1260,842,573,284
"P1",48,35,30,19,15,15,18,41,60,39,45,46,37,17,18,28,44,72
"P2",38,29,22,21,20,20,32,49,61,40,28,13,28,29,37,67,63,37
"P3",41,27,33,26,18,27,37,56,60,57,47,21,12,27,31,55,70,38
"P4",42,34,21,33,16,18,19,33,34,54,50,33,16,20,34,54,58,41
"P5",56,26,20,16,22,20,29,59,49,46,23,21,12,18,31,44,62,65
"P6",40,29,12,20,20,32,36,51,59,39,40,27,27,28,37,42,59,64
"NC1",40,96,259,637,1274,1690,1858,2036,2035,1935,2025,2039,2048,1979,1918,1999,1958,2023
"NC2",51,144,370,922,1499,1852,1862,2004,2013,2038,2103,2031,1907,2056,1911,2030,1991,2059
"NC3",51,117,411,809,1460,1759,1912,1997,2032,2000,2063,1943,1949,2042,2009,2026,1943,1932
"PC1",195,104,58,40,19,9,8,2,0,0,0,0,0,0,0,0,0,0
"PC2",185,98,56,36,25,12,10,3,2,0,0,0,0,0,0,0,0,0
"PC3",201,105,44,33,22,13,6,4,1,0,0,0,0,0,0,0,0,0
